scenario,seed,method,chunk,phase,ari,learn_s,us_per_point,clusters
stationary,2,betula DbStream,8,after,0.8822116618400012,0.0004117439966648817,1.6469759866595268,7
stationary,2,betula DbStream,9,after,0.9052890536273067,0.0004553160033538006,1.8212640134152025,6
stationary,2,betula DbStream,10,after,0.8798276525549161,0.0005380809961934574,2.1523239847738296,7
stationary,2,betula DbStream,11,after,0.8886615434277305,0.0006978119999985211,2.7912479999940842,5
stationary,2,betula DbStream,12,after,0.8909490492628274,0.0007267069959198125,2.90682798367925,4
stationary,2,betula DbStream,13,after,0.9277617030370422,0.0007609500025864691,3.043800010345876,5
stationary,2,betula DbStream,14,after,0.9141597300525586,0.0007684750016778708,3.073900006711483,5
stationary,2,betula DbStream,15,after,0.9322332912771942,0.001112511999963317,4.450047999853268,6
stationary,2,river DBSTREAM,0,before,0.2705955392983147,0.002476795998518355,9.90718399407342,16
stationary,2,river DBSTREAM,1,before,0.2349849402458598,0.003435888997046277,13.743555988185108,20
stationary,2,river DBSTREAM,2,before,0.20081156294717722,0.004247885000950191,16.991540003800765,23
stationary,2,river DBSTREAM,3,before,0.18176492533421804,0.00474563999887323,18.98255999549292,24
stationary,2,river DBSTREAM,4,before,0.19638786605293346,0.004683203005697578,18.732812022790313,23
stationary,2,river DBSTREAM,5,before,0.19374326092888924,0.004945415996189695,19.78166398475878,25
stationary,2,river DBSTREAM,6,before,0.18323678074467992,0.005148087002453394,20.592348009813577,26
stationary,2,river DBSTREAM,7,before,0.14563012458495317,0.005486342997755855,21.94537199102342,31
stationary,2,river DBSTREAM,8,after,0.15821277140106896,0.006220593000762165,24.88237200304866,32
stationary,2,river DBSTREAM,9,after,0.1355493314272335,0.006635783000092488,26.54313200036995,33
stationary,2,river DBSTREAM,10,after,0.1346193325116692,0.0066158460031147115,26.463384012458846,31
stationary,2,river DBSTREAM,11,after,0.1453973458161781,0.006572703998244833,26.290815992979333,33
stationary,2,river DBSTREAM,12,after,0.13534167620905108,0.0066456419954192825,26.58256798167713,32
stationary,2,river DBSTREAM,13,after,0.13293742524309887,0.006656272002146579,26.625088008586317,32
stationary,2,river DBSTREAM,14,after,0.121732374262358,0.006752964000042994,27.011856000171974,33
stationary,2,river DBSTREAM,15,after,0.1370746926008458,0.007455594000930432,29.82237600372173,33
stationary,2,river CluStream,0,before,1.0,0.05603508000058355,224.1403200023342,3
stationary,2,river CluStream,1,before,1.0,0.07435331300075632,297.41325200302526,3
stationary,2,river CluStream,2,before,1.0,0.0655884879961377,262.3539519845508,3
stationary,2,river CluStream,3,before,1.0,0.04438635399856139,177.54541599424556,3
stationary,2,river CluStream,4,before,1.0,0.04039336799905868,161.57347199623473,3
stationary,2,river CluStream,5,before,1.0,0.034544333997473586,138.17733598989435,3
stationary,2,river CluStream,6,before,1.0,0.02686661099869525,107.466443994781,3
stationary,2,river CluStream,7,before,1.0,0.030071916000451893,120.28766400180757,3
stationary,2,river CluStream,8,after,1.0,0.05247427699941909,209.89710799767636,3
stationary,2,river CluStream,9,after,1.0,0.0431213560004835,172.485424001934,3
stationary,2,river CluStream,10,after,1.0,0.04168487599963555,166.7395039985422,3
stationary,2,river CluStream,11,after,1.0,0.050492841997765936,201.97136799106374,3
stationary,2,river CluStream,12,after,1.0,0.04095865099952789,163.83460399811156,3
stationary,2,river CluStream,13,after,1.0,0.040440766999381594,161.76306799752638,3
stationary,2,river CluStream,14,after,1.0,0.033202701997652184,132.81080799060874,3
stationary,2,river CluStream,15,after,1.0,0.042412943999806885,169.65177599922754,3
jump,0,betula DenStream,0,before,0.6010785753635866,4.487399564823136e-05,0.17949598259292543,3
jump,0,betula DenStream,1,before,0.63340024610527,2.859400410670787e-05,0.11437601642683148,3
jump,0,betula DenStream,2,before,0.6790792951534307,2.5999004719778895e-05,0.10399601887911558,3
jump,0,betula DenStream,3,before,0.7225533684374036,2.5528002879582345e-05,0.10211201151832938,3
jump,0,betula DenStream,4,before,0.5892555022701789,3.2731004466768354e-05,0.13092401786707342,3
jump,0,betula DenStream,5,before,0.7399291460090046,2.6720997993834317e-05,0.10688399197533727,3
jump,0,betula DenStream,6,before,0.7387206206756107,2.6410001737531275e-05,0.1056400069501251,3
jump,0,betula DenStream,7,before,0.7456380663359834,2.680999750737101e-05,0.10723999002948403,3
jump,0,betula DenStream,8,after,0.6304398524700818,3.5607001336757094e-05,0.14242800534702837,6
jump,0,betula DenStream,9,after,0.6440257805199724,3.266099520260468e-05,0.13064398081041873,6
jump,0,betula DenStream,10,after,0.6418105225687033,3.218000347260386e-05,0.12872001389041543,6
jump,0,betula DenStream,11,after,0.6631860820017316,3.296200156910345e-05,0.1318480062764138,6
jump,0,betula DenStream,12,after,0.6528229335923641,3.3692995202727616e-05,0.13477198081091046,6
jump,0,betula DenStream,13,after,0.6931795020282135,3.322200063848868e-05,0.13288800255395472,6
jump,0,betula DenStream,14,after,0.7202177161228436,3.301200194982812e-05,0.13204800779931247,6
jump,0,betula DenStream,15,after,0.7430832464529321,3.2812000426929444e-05,0.13124800170771778,6
jump,0,river DenStream,0,before,0.22049300682478484,0.0009386640012962744,3.7546560051850975,18
jump,0,river DenStream,1,before,0.24901075527809216,0.0012086920032743365,4.834768013097346,18
jump,0,river DenStream,2,before,0.2449277715806713,0.0011945649966946803,4.778259986778721,18
jump,0,river DenStream,3,before,0.2339543946301453,0.0012151339979027398,4.860535991610959,18
jump,0,river DenStream,4,before,0.22970814623151775,0.001209323003422469,4.837292013689876,18
jump,0,river DenStream,5,before,0.242932407922072,0.0011854679978569038,4.741871991427615,18
jump,0,river DenStream,6,before,0.22643141570321398,0.0012048050048178993,4.819220019271597,18
jump,0,river DenStream,7,before,0.2351050813771472,0.0011975110028288327,4.790044011315331,18
jump,0,river DenStream,8,after,0.0,0.0012916580017190427,5.166632006876171,1
jump,0,river DenStream,9,after,0.0,0.0012627039977815002,5.050815991126001,1
jump,0,river DenStream,10,after,0.0,0.0013638129967148416,5.455251986859366,1
jump,0,river DenStream,11,after,0.0,0.001263655001821462,5.054620007285848,1
jump,0,river DenStream,12,after,0.0,0.0012482359961722977,4.992943984689191,1
jump,0,river DenStream,13,after,0.0,0.0012837929971283302,5.135171988513321,1
jump,0,river DenStream,14,after,0.0,0.0012810580010409467,5.124232004163787,1
jump,0,river DenStream,15,after,0.0,0.001283903002331499,5.135612009325996,1
jump,0,betula DbStream,0,before,0.8179224080708831,7.596200157422572e-05,0.3038480062969029,5
jump,0,betula DbStream,1,before,0.8068295377252036,0.00010508699779165909,0.42034799116663635,10
jump,0,betula DbStream,2,before,0.8827533676786584,0.00013708699407288805,0.5483479762915522,7
jump,0,betula DbStream,3,before,0.8926919286942968,0.00019524699746398255,0.7809879898559302,6
jump,0,betula DbStream,4,before,0.8641340612974947,0.00022681600239593536,0.9072640095837414,7
jump,0,betula DbStream,5,before,0.8799585214706305,0.0002612809985294007,1.0451239941176027,5
jump,0,betula DbStream,6,before,0.8862048884823371,0.00033740399521775544,1.3496159808710217,4
jump,0,betula DbStream,7,before,0.8798381490921608,0.000430448999395594,1.721795997582376,5
jump,0,betula DbStream,8,after,0.7459996604502788,0.00016643300477880985,0.6657320191152394,12
jump,0,betula DbStream,9,after,0.8437021708609403,0.0002220069945906289,0.8880279783625156,11
jump,0,betula DbStream,10,after,0.8566401511130088,0.0002627140056574717,1.0508560226298869,12
jump,0,betula DbStream,11,after,0.9262686567799324,0.00035616999957710505,1.4246799983084202,11
jump,0,betula DbStream,12,after,0.8905109499603201,0.00039384000410791487,1.5753600164316595,10
jump,0,betula DbStream,13,after,0.8983748888235016,0.00044108900328865275,1.764356013154611,11
jump,0,betula DbStream,14,after,0.9252869035057378,0.00045126800250727683,1.8050720100291073,10
jump,0,betula DbStream,15,after,0.8468887110610114,0.0005967819961369969,2.3871279845479876,13
jump,0,river DBSTREAM,0,before,0.33899485643686117,0.002018183993641287,8.072735974565148,12
jump,0,river DBSTREAM,1,before,0.22194484657776076,0.0029640519933309406,11.856207973323762,17
jump,0,river DBSTREAM,2,before,0.21668137300247386,0.0035843369987560436,14.337347995024174,19
jump,0,river DBSTREAM,3,before,0.20144764313132127,0.00390167399746133,15.60669598984532,21
jump,0,river DBSTREAM,4,before,0.17344019904420022,0.004430408000189345,17.72163200075738,24
jump,0,river DBSTREAM,5,before,0.18344752185244997,0.004824829004064668,19.299316016258672,24
jump,0,river DBSTREAM,6,before,0.17455297861558192,0.004899248997389805,19.59699598955922,24
jump,0,river DBSTREAM,7,before,0.1707321283902833,0.004755217996716965,19.02087198686786,24
jump,0,river DBSTREAM,8,after,0.5003788718658932,0.005217206999077462,20.868827996309847,8
jump,0,river DBSTREAM,9,after,0.2802959678593412,0.006198412003868725,24.7936480154749,15
jump,0,river DBSTREAM,10,after,0.22075525311255426,0.007169907999923453,28.67963199969381,19
jump,0,river DBSTREAM,11,after,0.1880349840621177,0.007640702999196947,30.562811996787786,21
jump,0,river DBSTREAM,12,after,0.20904146794099646,0.00786128700565314,31.445148022612557,21
jump,0,river DBSTREAM,13,after,0.17704641901460202,0.008437310003500897,33.74924001400359,24
jump,0,river DBSTREAM,14,after,0.16971860362712454,0.008472404995700344,33.88961998280138,23
jump,0,river DBSTREAM,15,after,0.1972221908967353,0.008552006001991685,34.20802400796674,24
jump,0,river CluStream,0,before,1.0,0.05638015899603488,225.52063598413952,3
jump,0,river CluStream,1,before,1.0,0.08331307499611285,333.2522999844514,3
